,cl,x,y,cluster_id,cluster_color,cluster_label,cluster_size,hood_id,hood_color
38,93,6.186668,7.415424,99,#D99F07,Sst HIP Tll1_1,42,1,#ff9e00
39,98,6.689239,7.121996,100,#BF720B,Sst RHP Cbln4 Neb_2,83,1,#ff9e00
40,95,7.5926604,6.8188243,101,#E6A705,Sst HIP Cbln4 Npy2r,40,1,#ff9e00
41,97,8.782048,5.61525,102,#B36B0C,Sst RHP Cbln4 Neb_1,256,1,#ff9e00
42,100,8.12743,5.9453936,103,#F2B003,Sst RHP Crhbp Adamtsl1_2_2,425,1,#ff9e00
43,77,-3.5944803,-2.4466143,104,#CC7E09,Sst Th,1188,1,#ff9e00
44,78,-5.055636,-2.9970522,105,#FFB800,Sst Lmo1 Eya1,128,1,#ff9e00
45,84,-5.6967025,-2.8246546,74,#D98507,Sst Rxfp1 Bcl6_3_1_3,100,1,#ff9e00
46,112,-6.02527,-0.86271286,106,#8C2734,Pvalb Antxr2 Syt2 Tac1_2_1,904,2,#e31e2a
47,109,-8.288918,0.5250999,107,#CC322E,Pvalb Th Gabrg1_1,435,2,#e31e2a
48,110,-9.832417,-0.40023422,108,#99282D,Pvalb Th Gabrg1_2,1499,2,#e31e2a
49,111,-7.465302,-1.2597897,109,#D93031,Pvalb Th Prr16,324,2,#e31e2a
50,121,1.1985929,5.3873086,114,#A62A2F,Pvalb Cartpt Syt2 Creb5_1_1,1660,2,#e31e2a
51,120,-0.99379253,4.9108295,115,#EC3031,Pvalb Htr2c Col25a1_3,1477,2,#e31e2a
52,113,-6.385616,0.44524345,110,#B92C3E,Pvalb Antxr2 Syt2 Tac1_2_2,796,2,#e31e2a
53,114,-6.5988617,1.9333999,111,#FF3031,Pvalb Antxr2 Syt2 Tac1_3_1_1,833,2,#e31e2a
54,117,-3.983628,1.5434704,112,#CC2D41,Pvalb Cartpt Sema3e Ptprz1_2,1212,2,#e31e2a
55,119,-7.019416,3.8240259,113,#B9342C,Pvalb Cartpt Syt2 Creb5_4_1_2,1412,2,#e31e2a
56,124,-8.50484,8.693327,116,#D92D43,Pvalb Cartpt Syt2 Creb5_2_1,3106,2,#e31e2a
57,123,-1.8644156,8.418426,117,#8C2A27,Pvalb Cartpt Syt2 Creb5_1_2_2,5408,2,#e31e2a
58,125,-4.97445,6.3614116,118,#EC2D46,Pvalb Cartpt Syt2 Creb5_2_2,12991,2,#e31e2a
59,122,3.2684047,7.9445286,119,#D93C2D,Pvalb Cartpt Syt2 Creb5_1_2_1,34,2,#e31e2a
60,126,0.4826689,14.847773,120,#FF2D4E,Pvalb Vipr2,1946,2,#e31e2a
