cl.from,cl.to,Freq,cl.from.total,cl.to.total,odds,pval.log,frac,cl.from.label,cl.to.label
11,11,6666,11481,9689,1024.012522,-45170.08545,0.580611445,Lamp5 Reln Tnnt1_2_3_3,Lamp5 Reln Tnnt1_2_3_3
12,11,309,3156,9689,172.6796501,-1308.694841,0.097908745,Lamp5 Sema5a Hapln1,Lamp5 Reln Tnnt1_2_3_3
13,13,19331,23731,24814,560.9706437,-125991.7838,0.814588513,Lamp5 Egfr_1,Lamp5 Egfr_1
18,13,2046,25183,24814,55.9499905,-6395.651411,0.081245285,Lamp5 Megf10_1,Lamp5 Egfr_1
14,13,1060,20217,24814,36.10696686,-2823.891925,0.052431122,Lamp5 Egfr_2,Lamp5 Egfr_1
17,13,567,6662,24814,58.61115554,-1785.250978,0.085109577,Lamp5 Egfr_5,Lamp5 Egfr_1
16,13,1797,21600,24814,57.29228969,-5652.352139,0.083194444,Lamp5 Egfr_4,Lamp5 Egfr_1
13,18,1457,23731,24507,42.81066685,-4141.009971,0.061396486,Lamp5 Egfr_1,Lamp5 Megf10_1
18,18,20584,25183,24507,569.9421653,-136186.109,0.817376802,Lamp5 Megf10_1,Lamp5 Megf10_1
17,18,280,6662,24507,29.30636021,-686.0899944,0.042029421,Lamp5 Egfr_5,Lamp5 Megf10_1
20,18,798,21479,24507,25.90581821,-1860.113402,0.037152568,Pax6 Npsr1 Tmem176b_2_2_1,Lamp5 Megf10_1
19,18,191,4015,24507,33.1708269,-492.1155808,0.047571606,Sncg Pax6 Kitl,Lamp5 Megf10_1
13,14,932,23731,21263,31.56268674,-2355.919447,0.039273524,Lamp5 Egfr_1,Lamp5 Egfr_2
14,14,14913,20217,21263,592.819388,-95359.63073,0.737646535,Lamp5 Egfr_2,Lamp5 Egfr_2
17,14,1063,6662,21263,128.2338638,-4224.265737,0.159561693,Lamp5 Egfr_5,Lamp5 Egfr_2
15,14,1665,34478,21263,38.81023428,-4576.687211,0.048291664,Lamp5 Egfr_3,Lamp5 Egfr_2
16,14,1614,21600,21263,60.05150155,-5147.839753,0.074722222,Lamp5 Egfr_4,Lamp5 Egfr_2
59,14,846,12476,21263,54.49655998,-2600.942805,0.067810196,Vip AC129186.1 Tac2_2,Lamp5 Egfr_2
14,17,687,20217,5573,104.1956562,-2570.663568,0.033981303,Lamp5 Egfr_2,Lamp5 Egfr_5
17,17,3042,6662,5573,1400.116486,-20877.91825,0.456619634,Lamp5 Egfr_5,Lamp5 Egfr_5
8,15,4864,150578,33627,16.41506282,-9446.865586,0.032302196,Lamp5 Ndnf_2,Lamp5 Egfr_3
14,15,1378,20217,33627,34.63721885,-3623.611943,0.068160459,Lamp5 Egfr_2,Lamp5 Egfr_3
17,15,569,6662,33627,43.40283974,-1622.100593,0.085409787,Lamp5 Egfr_5,Lamp5 Egfr_3
15,15,24460,34478,33627,360.5162912,-144165.5805,0.709437902,Lamp5 Egfr_3,Lamp5 Egfr_3
16,15,1998,21600,33627,47.00588567,-5891.655395,0.0925,Lamp5 Egfr_4,Lamp5 Egfr_3
13,16,1609,23731,20465,56.61439712,-5035.033559,0.06780161,Lamp5 Egfr_1,Lamp5 Egfr_4
14,16,1162,20217,20465,47.99282329,-3429.727456,0.057476381,Lamp5 Egfr_2,Lamp5 Egfr_4
17,16,457,6662,20465,57.27939917,-1425.279428,0.068598019,Lamp5 Egfr_5,Lamp5 Egfr_4
15,16,1673,34478,20465,40.51732432,-4672.176295,0.048523696,Lamp5 Egfr_3,Lamp5 Egfr_4
16,16,13847,21600,20465,535.2896216,-85432.00667,0.641064815,Lamp5 Egfr_4,Lamp5 Egfr_4
21,21,638,1263,1095,7883.187206,-5526.789602,0.505146477,Pax6 Npsr1 Tmem176b_2_2_2,Pax6 Npsr1 Tmem176b_2_2_2
18,20,1059,25183,22263,32.27776382,-2702.81871,0.042052178,Lamp5 Megf10_1,Pax6 Npsr1 Tmem176b_2_2_1
21,20,385,1263,22263,233.976545,-1789.191749,0.30482977,Pax6 Npsr1 Tmem176b_2_2_2,Pax6 Npsr1 Tmem176b_2_2_1
20,20,19411,21479,22263,693.6634257,-135689.7505,0.903719912,Pax6 Npsr1 Tmem176b_2_2_1,Pax6 Npsr1 Tmem176b_2_2_1
22,20,1118,3854,22263,222.6614526,-5142.259976,0.29008822,Pax6 Ntng1,Pax6 Npsr1 Tmem176b_2_2_1
19,20,135,4015,22263,25.80852376,-314.8927745,0.03362391,Sncg Pax6 Kitl,Pax6 Npsr1 Tmem176b_2_2_1
20,22,670,21479,3371,158.1250309,-2811.840843,0.031193259,Pax6 Npsr1 Tmem176b_2_2_1,Pax6 Ntng1
22,22,2494,3854,3371,3280.38349,-20090.78248,0.647119875,Pax6 Ntng1,Pax6 Ntng1
25,25,41585,48068,47970,308.1836298,-253987.5972,0.865128568,Sncg Teddm3 Spx_2_2,Sncg Teddm3 Spx_2_2
26,25,1951,8807,47970,78.91475012,-6868.946526,0.22152833,Sncg Teddm3 Spx_1_1,Sncg Teddm3 Spx_2_2
28,25,42,1231,47970,12.15402569,-69.67565435,0.034118603,Sncg HPF,Sncg Teddm3 Spx_2_2
19,25,268,4015,47970,23.77815518,-605.2412951,0.066749689,Sncg Pax6 Kitl,Sncg Teddm3 Spx_2_2
45,25,2093,27527,47970,27.08564974,-5012.774699,0.076034439,Vip Teddm3 Spx_2_3,Sncg Teddm3 Spx_2_2
25,26,1742,48068,8514,72.73728449,-5972.245754,0.036240326,Sncg Teddm3 Spx_2_2,Sncg Teddm3 Spx_1_1
26,26,5698,8807,8514,1298.552264,-40197.88409,0.646985353,Sncg Teddm3 Spx_1_1,Sncg Teddm3 Spx_1_1
27,26,582,4489,8514,260.2186171,-2720.439594,0.129650256,Sncg Teddm3 Spx_1_2,Sncg Teddm3 Spx_1_1
29,26,424,7746,8514,109.8634794,-1598.381646,0.054737929,Sncg Npnt Sln_1_1,Sncg Teddm3 Spx_1_1
26,27,730,8807,4732,299.3289753,-3528.666049,0.082888611,Sncg Teddm3 Spx_1_1,Sncg Teddm3 Spx_1_2
27,27,3019,4489,4732,2428.663818,-23174.49369,0.672532858,Sncg Teddm3 Spx_1_2,Sncg Teddm3 Spx_1_2
29,27,601,7746,4732,280.1888666,-2855.473943,0.077588433,Sncg Npnt Sln_1_1,Sncg Teddm3 Spx_1_2
36,27,178,2067,4732,310.9806886,-858.9028404,0.086115143,Ndnf HPF Syt6_2,Sncg Teddm3 Spx_1_2
38,27,83,2206,4732,135.8709085,-330.6570633,0.03762466,Ndnf HPF Penk,Sncg Teddm3 Spx_1_2
28,28,1070,1231,1288,11532.10247,-10365.31595,0.869212023,Sncg HPF,Sncg HPF
26,29,346,8807,7577,88.60320798,-1227.799769,0.039286931,Sncg Teddm3 Spx_1_1,Sncg Npnt Sln_1_1
27,29,476,4489,7577,239.1435606,-2178.10811,0.106036979,Sncg Teddm3 Spx_1_2,Sncg Npnt Sln_1_1
29,29,5368,7746,7577,1562.918595,-39318.42456,0.69300284,Sncg Npnt Sln_1_1,Sncg Npnt Sln_1_1
30,29,780,7860,7577,223.8068633,-3529.000394,0.099236641,Sncg Npnt Sln_1_2,Sncg Npnt Sln_1_1
29,30,749,7746,7751,213.179392,-3349.067125,0.096695068,Sncg Npnt Sln_1_1,Sncg Npnt Sln_1_2
30,30,5736,7860,7751,1608.894218,-42595.99229,0.729770992,Sncg Npnt Sln_1_2,Sncg Npnt Sln_1_2
31,30,666,14104,7751,104.1052962,-2482.940125,0.047220647,Sncg Slc17a8,Sncg Npnt Sln_1_2
30,31,786,7860,14778,115.633313,-3019.73951,0.1,Sncg Npnt Sln_1_2,Sncg Slc17a8
31,31,12411,14104,14778,1017.530522,-90433.93537,0.879963131,Sncg Slc17a8,Sncg Slc17a8
32,31,1192,33088,14778,41.65706877,-3354.415675,0.036025145,Sncg Jam2 Fam107a Masp1_1,Sncg Slc17a8
35,31,185,3115,14778,68.67468029,-610.1854897,0.059390048,Sncg Calcb,Sncg Slc17a8
23,23,5092,7200,6644,1818.967359,-38469.73864,0.707222222,Sncg Calcrl Vip,Sncg Calcrl Vip
24,23,568,12618,6644,115.7782071,-2177.22755,0.045015058,Sncg Clrn1 Sox5_1_1,Sncg Calcrl Vip
34,23,225,5054,6644,114.5028477,-855.9653415,0.044519193,Sncg Stk32b Tac2_1,Sncg Calcrl Vip
23,24,806,7200,13323,143.581719,-3277.946371,0.111944444,Sncg Calcrl Vip,Sncg Clrn1 Sox5_1_1
24,24,10654,12618,13323,1082.975851,-77154.78739,0.844349342,Sncg Clrn1 Sox5_1_1,Sncg Clrn1 Sox5_1_1
33,24,320,2084,13323,196.9467719,-1405.388491,0.153550864,Sncg Jam2 Fam107a Masp1_2,Sncg Clrn1 Sox5_1_1
35,24,209,3115,13323,86.05672974,-736.6851718,0.067094703,Sncg Calcb,Sncg Clrn1 Sox5_1_1
12,24,265,3156,13323,107.6974654,-994.9803829,0.083967047,Lamp5 Sema5a Hapln1,Sncg Clrn1 Sox5_1_1
41,24,758,8136,13323,119.496413,-2935.736246,0.093166175,Vip Synpr_2,Sncg Clrn1 Sox5_1_1
19,19,2599,4015,3877,2853.143137,-20386.74842,0.64732254,Sncg Pax6 Kitl,Sncg Pax6 Kitl
29,32,296,7746,32287,20.22484285,-618.7889336,0.038213271,Sncg Npnt Sln_1_1,Sncg Jam2 Fam107a Masp1_1
30,32,453,7860,32287,30.50328366,-1129.502315,0.057633588,Sncg Npnt Sln_1_2,Sncg Jam2 Fam107a Masp1_1
31,32,780,14104,32287,29.27003494,-1913.954103,0.05530346,Sncg Slc17a8,Sncg Jam2 Fam107a Masp1_1
19,32,655,4015,32287,86.34291124,-2338.755792,0.163138232,Sncg Pax6 Kitl,Sncg Jam2 Fam107a Masp1_1
32,32,26345,33088,32287,421.4039705,-164766.4268,0.796210106,Sncg Jam2 Fam107a Masp1_1,Sncg Jam2 Fam107a Masp1_1
33,32,608,2084,32287,154.4104903,-2567.361295,0.291746641,Sncg Jam2 Fam107a Masp1_2,Sncg Jam2 Fam107a Masp1_1
34,32,254,5054,32287,26.59925154,-599.4664474,0.050257222,Sncg Stk32b Tac2_1,Sncg Jam2 Fam107a Masp1_1
45,32,1583,27527,32287,30.43637802,-3960.970034,0.057507175,Vip Teddm3 Spx_2_3,Sncg Jam2 Fam107a Masp1_1
33,33,944,2084,1893,4089.04883,-7455.0916,0.452975048,Sncg Jam2 Fam107a Masp1_2,Sncg Jam2 Fam107a Masp1_2
34,34,4028,5054,4947,2753.030007,-32751.7369,0.796992481,Sncg Stk32b Tac2_1,Sncg Stk32b Tac2_1
35,34,160,3115,4947,177.4265682,-679.602574,0.051364366,Sncg Calcb,Sncg Stk32b Tac2_1
33,35,68,2084,3092,180.3309805,-290.4746468,0.032629559,Sncg Jam2 Fam107a Masp1_2,Sncg Calcb
34,35,154,5054,3092,168.4009857,-645.9618684,0.030470914,Sncg Stk32b Tac2_1,Sncg Calcb
35,35,2402,3115,3092,4261.613877,-20393.42744,0.771107544,Sncg Calcb,Sncg Calcb
37,35,65,1606,3092,223.6799008,-291.9304658,0.040473225,Scrg1 HPF ,Sncg Calcb
12,12,2198,3156,2876,4138.094869,-18384.41293,0.696451204,Lamp5 Sema5a Hapln1,Lamp5 Sema5a Hapln1
24,41,672,12618,7666,118.7158117,-2595.511941,0.053257252,Sncg Clrn1 Sox5_1_1,Vip Synpr_2
12,41,340,3156,7666,240.1439991,-1555.239561,0.107731305,Lamp5 Sema5a Hapln1,Vip Synpr_2
41,41,5345,8136,7666,1464.42315,-38550.2744,0.656956735,Vip Synpr_2,Vip Synpr_2
42,41,713,10179,7666,156.1400204,-2955.950856,0.070046173,Vip Htr1f Cd24a,Vip Synpr_2
41,42,1052,8136,9889,223.4349228,-4775.499852,0.129301868,Vip Synpr_2,Vip Htr1f Cd24a
42,42,7085,10179,9889,1202.765589,-50119.04793,0.696040868,Vip Htr1f Cd24a,Vip Htr1f Cd24a
37,37,1321,1606,1519,9253.331775,-12491.72821,0.822540473,Scrg1 HPF ,Scrg1 HPF 
39,37,94,2067,1519,511.5972887,-500.7683448,0.045476536,Ndnf HPF Tmem132c,Scrg1 HPF 
27,36,177,4489,2041,330.1256637,-864.8589399,0.039429717,Sncg Teddm3 Spx_1_2,Ndnf HPF Syt6_2
36,36,1688,2067,2041,6837.346541,-15333.81269,0.816642477,Ndnf HPF Syt6_2,Ndnf HPF Syt6_2
36,38,82,2067,2210,306.7465827,-394.0509135,0.039671021,Ndnf HPF Syt6_2,Ndnf HPF Penk
38,38,1746,2206,2210,6119.910751,-15527.52652,0.791477788,Ndnf HPF Penk,Ndnf HPF Penk
39,38,154,2067,2210,576.0850455,-839.8340888,0.074504112,Ndnf HPF Tmem132c,Ndnf HPF Penk
37,39,75,1606,2115,377.3149228,-376.3230176,0.046699875,Scrg1 HPF ,Ndnf HPF Tmem132c
38,39,196,2206,2115,717.8584595,-1114.989407,0.088848595,Ndnf HPF Penk,Ndnf HPF Tmem132c
39,39,1697,2067,2115,6633.299783,-15319.005,0.820996613,Ndnf HPF Tmem132c,Ndnf HPF Tmem132c
40,40,2832,3170,3089,4942.136196,-25526.39741,0.893375394,Ndnf HPF 9330158H04Rik,Ndnf HPF 9330158H04Rik
95,40,107,601,3089,984.8952173,-645.748476,0.178036606,Sst HIP Cbln4 Npy2r,Ndnf HPF 9330158H04Rik
25,45,2515,48068,27359,32.67987213,-6511.405466,0.052321711,Sncg Teddm3 Spx_2_2,Vip Teddm3 Spx_2_3
32,45,1920,33088,27359,36.24341595,-5150.09716,0.058027079,Sncg Jam2 Fam107a Masp1_1,Vip Teddm3 Spx_2_3
45,45,21426,27527,27359,486.161574,-135710.7508,0.778363062,Vip Teddm3 Spx_2_3,Vip Teddm3 Spx_2_3
45,46,1740,27527,86558,12.47905743,-2858.512232,0.063210666,Vip Teddm3 Spx_2_3,Vip 5033421B08Rik_2
46,46,79185,85841,86558,182.1124222,-455957.4827,0.922461295,Vip 5033421B08Rik_2,Vip 5033421B08Rik_2
53,46,1729,49754,86558,6.860541716,-1892.206642,0.034750975,Vip Rspo1 Cxcl14,Vip 5033421B08Rik_2
50,46,1175,24143,86558,9.608111852,-1640.056319,0.048668351,Vip Creb5 Grm8_1,Vip 5033421B08Rik_2
55,46,2381,78823,86558,5.963453721,-2322.837091,0.030206919,Vip Cbln4_1_2,Vip 5033421B08Rik_2
41,43,263,8136,55304,9.988192316,-376.1819596,0.032325467,Vip Synpr_2,Vip Npy Pthlh Plpp4
42,43,1963,10179,55304,59.58778916,-6328.854902,0.19284802,Vip Htr1f Cd24a,Vip Npy Pthlh Plpp4
43,43,47808,54295,55304,272.0713588,-286999.8267,0.880523068,Vip Npy Pthlh Plpp4,Vip Npy Pthlh Plpp4
44,43,2694,56357,55304,14.77038487,-4862.376455,0.047802403,Vip Pcdh11x Lin7a Kcnh7_2,Vip Npy Pthlh Plpp4
53,43,1563,49754,55304,9.706732545,-2192.942073,0.03141456,Vip Rspo1 Cxcl14,Vip Npy Pthlh Plpp4
43,44,2833,54295,56581,15.7584954,-5292.962914,0.052177917,Vip Npy Pthlh Plpp4,Vip Pcdh11x Lin7a Kcnh7_2
44,44,45159,56357,56581,242.0050686,-256614.9891,0.801302411,Vip Pcdh11x Lin7a Kcnh7_2,Vip Pcdh11x Lin7a Kcnh7_2
53,44,3095,49754,56581,18.78713966,-6318.775818,0.062206054,Vip Rspo1 Cxcl14,Vip Pcdh11x Lin7a Kcnh7_2
47,44,2740,55439,56581,14.92667879,-4974.059224,0.049423691,Vip Pcdh11x Lin7a Kcnh7_3,Vip Pcdh11x Lin7a Kcnh7_2
56,44,340,8878,56581,11.56622905,-531.8449139,0.038296914,Vip Ntng1 Stac Htr2c_2_2,Vip Pcdh11x Lin7a Kcnh7_2
54,44,587,4142,56581,42.80120726,-1680.536077,0.141718976,Vip Cbln4_1_1,Vip Pcdh11x Lin7a Kcnh7_2
59,44,407,12476,56581,9.852513881,-575.8345511,0.032622635,Vip AC129186.1 Tac2_2,Vip Pcdh11x Lin7a Kcnh7_2
44,53,2690,56357,49318,16.538556,-5148.736398,0.047731426,Vip Pcdh11x Lin7a Kcnh7_2,Vip Rspo1 Cxcl14
53,53,38061,49754,49318,265.0607165,-216847.2603,0.76498372,Vip Rspo1 Cxcl14,Vip Rspo1 Cxcl14
55,53,2447,78823,49318,10.75657932,-3680.801546,0.031044238,Vip Cbln4_1_2,Vip Rspo1 Cxcl14
44,47,2722,56357,56412,14.6307769,-4888.664045,0.048299235,Vip Pcdh11x Lin7a Kcnh7_2,Vip Pcdh11x Lin7a Kcnh7_3
47,47,48840,55439,56412,266.8624084,-292382.013,0.880968271,Vip Pcdh11x Lin7a Kcnh7_3,Vip Pcdh11x Lin7a Kcnh7_3
51,47,3736,27605,56412,40.99644985,-10607.43178,0.135337801,Vip Creb5 Grm8_2_1,Vip Pcdh11x Lin7a Kcnh7_3
47,51,3034,55439,27438,34.08367126,-8010.875806,0.054726817,Vip Pcdh11x Lin7a Kcnh7_3,Vip Creb5 Grm8_2_1
51,51,18714,27605,27438,422.206634,-111778.8556,0.677920667,Vip Creb5 Grm8_2_1,Vip Creb5 Grm8_2_1
48,51,1451,21284,27438,42.45807907,-4112.401383,0.068173276,Vip Cd24a Calb2_1,Vip Creb5 Grm8_2_1
49,51,310,2505,27438,77.07262361,-1065.844933,0.123752495,Vip Cbln4_2,Vip Creb5 Grm8_2_1
23,48,761,7200,20311,88.92410141,-2721.861739,0.105694444,Sncg Calcrl Vip,Vip Cd24a Calb2_1
51,48,982,27605,20311,29.92892109,-2431.872616,0.035573266,Vip Creb5 Grm8_2_1,Vip Cd24a Calb2_1
48,48,15557,21284,20311,614.9501707,-101033.9476,0.730924638,Vip Cd24a Calb2_1,Vip Cd24a Calb2_1
50,50,18320,24143,24142,537.1055258,-116917.6208,0.758812078,Vip Creb5 Grm8_1,Vip Creb5 Grm8_1
53,55,2465,49754,75515,11.21125746,-3802.893552,0.049543755,Vip Rspo1 Cxcl14,Vip Cbln4_1_2
55,55,62526,78823,75515,179.5035701,-338399.4987,0.793245626,Vip Cbln4_1_2,Vip Cbln4_1_2
52,55,5480,127859,75515,9.698725313,-7802.263543,0.042859713,Vip Creb5 Grm8_2_2,Vip Cbln4_1_2
49,55,370,2505,75515,33.42407508,-971.2939312,0.147704591,Vip Cbln4_2,Vip Cbln4_1_2
54,55,309,4142,75515,16.88160713,-597.3548966,0.074601642,Vip Cbln4_1_1,Vip Cbln4_1_2
60,55,983,12134,75515,18.33221456,-1976.574507,0.081012032,Vip Rspo3 Ryr3,Vip Cbln4_1_2
53,52,2288,49754,132434,5.933721419,-2227.316048,0.045986252,Vip Rspo1 Cxcl14,Vip Creb5 Grm8_2_2
51,52,3348,27605,132434,15.64936905,-6303.510886,0.121282376,Vip Creb5 Grm8_2_1,Vip Creb5 Grm8_2_2
48,52,2363,21284,132434,14.32549396,-4234.106958,0.111022364,Vip Cd24a Calb2_1,Vip Creb5 Grm8_2_2
50,52,3352,24143,132434,17.91479777,-6769.973571,0.138839415,Vip Creb5 Grm8_1,Vip Creb5 Grm8_2_2
55,52,8475,78823,132434,13.87349498,-15080.78609,0.107519379,Vip Cbln4_1_2,Vip Creb5 Grm8_2_2
52,52,111589,127859,132434,112.6131786,-566306.3661,0.872750452,Vip Creb5 Grm8_2_2,Vip Creb5 Grm8_2_2
49,52,672,2505,132434,34.6147084,-1829.124126,0.268263473,Vip Cbln4_2,Vip Creb5 Grm8_2_2
49,49,1013,2505,1979,3491.84174,-7815.14665,0.404391218,Vip Cbln4_2,Vip Cbln4_2
56,56,6279,8878,8320,1452.61541,-45939.49078,0.707253886,Vip Ntng1 Stac Htr2c_2_2,Vip Ntng1 Stac Htr2c_2_2
57,56,325,3655,8320,182.629649,-1394.049634,0.088919289,Vip Ntng1 Stac Htr2c_2_1_1,Vip Ntng1 Stac Htr2c_2_2
56,57,368,8878,3438,206.0276158,-1626.19717,0.041450777,Vip Ntng1 Stac Htr2c_2_2,Vip Ntng1 Stac Htr2c_2_1_1
57,57,2163,3655,3438,2941.452888,-16840.4041,0.591792066,Vip Ntng1 Stac Htr2c_2_1_1,Vip Ntng1 Stac Htr2c_2_1_1
56,58,1113,8878,60177,35.59984619,-2977.434802,0.125366073,Vip Ntng1 Stac Htr2c_2_2,Vip Ntng1 Stac Htr2c_2_1_2
57,58,1119,3655,60177,86.93823185,-4093.070524,0.306155951,Vip Ntng1 Stac Htr2c_2_1_1,Vip Ntng1 Stac Htr2c_2_1_2
58,58,55201,59012,60177,265.6285243,-340408.9978,0.935419915,Vip Ntng1 Stac Htr2c_2_1_2,Vip Ntng1 Stac Htr2c_2_1_2
54,58,470,4142,60177,32.22224989,-1208.476467,0.113471753,Vip Cbln4_1_1,Vip Ntng1 Stac Htr2c_2_1_2
60,58,801,12134,60177,18.7454825,-1622.701516,0.066012856,Vip Rspo3 Ryr3,Vip Ntng1 Stac Htr2c_2_1_2
59,58,928,12476,60177,21.12227576,-1989.644355,0.074382815,Vip AC129186.1 Tac2_2,Vip Ntng1 Stac Htr2c_2_1_2
54,54,2286,4142,4015,2348.979426,-17086.74171,0.551907291,Vip Cbln4_1_1,Vip Cbln4_1_1
60,54,405,12134,4015,142.0574825,-1636.578513,0.033377287,Vip Rspo3 Ryr3,Vip Cbln4_1_1
28,60,53,1231,11654,63.13082053,-171.6408573,0.043054427,Sncg HPF,Vip Rspo3 Ryr3
54,60,346,4142,11654,122.4868939,-1343.914905,0.083534524,Vip Cbln4_1_1,Vip Rspo3 Ryr3
60,60,8797,12134,11654,1063.05129,-61780.35087,0.724987638,Vip Rspo3 Ryr3,Vip Rspo3 Ryr3
59,60,706,12476,11654,82.97608736,-2467.351072,0.05658865,Vip AC129186.1 Tac2_2,Vip Rspo3 Ryr3
14,59,823,20217,12705,54.75289486,-2533.246942,0.040708315,Lamp5 Egfr_2,Vip AC129186.1 Tac2_2
17,59,335,6662,12705,67.63385474,-1098.102637,0.0502852,Lamp5 Egfr_5,Vip AC129186.1 Tac2_2
56,59,410,8878,12705,62.11445482,-1309.149421,0.046181572,Vip Ntng1 Stac Htr2c_2_2,Vip AC129186.1 Tac2_2
60,59,671,12134,12705,74.37765664,-2269.558544,0.055299159,Vip Rspo3 Ryr3,Vip AC129186.1 Tac2_2
59,59,8976,12476,12705,967.6792745,-61667.86846,0.719461366,Vip AC129186.1 Tac2_2,Vip AC129186.1 Tac2_2
61,61,1033,1635,1468,7354.533661,-9102.561764,0.631804281,Sst Chodl Slc5a7_1,Sst Chodl Slc5a7_1
63,61,182,3957,1468,535.3994408,-981.252371,0.04599444,Sst Chodl Slc5a7_2_2,Sst Chodl Slc5a7_1
61,62,273,1635,25127,113.5541162,-1050.179138,0.166972477,Sst Chodl Slc5a7_1,Sst Chodl Slc5a7_2_1
62,62,22173,25041,25127,602.1861741,-151544.0982,0.885467833,Sst Chodl Slc5a7_2_1,Sst Chodl Slc5a7_2_1
63,62,2386,3957,25127,410.0741378,-13027.00551,0.602982057,Sst Chodl Slc5a7_2_2,Sst Chodl Slc5a7_2_1
64,62,246,1467,25127,114.0415167,-947.6342976,0.167689162,Sst Rasgef1b,Sst Chodl Slc5a7_2_1
61,63,214,1635,4070,549.5411753,-1160.353636,0.13088685,Sst Chodl Slc5a7_1,Sst Chodl Slc5a7_2_2
62,63,2465,25041,4070,413.3038752,-13487.8934,0.098438561,Sst Chodl Slc5a7_2_1,Sst Chodl Slc5a7_2_2
63,63,1376,3957,4070,1460.012606,-9191.803099,0.347738185,Sst Chodl Slc5a7_2_2,Sst Chodl Slc5a7_2_2
64,64,745,1467,1133,7659.402287,-6483.734507,0.507839127,Sst Rasgef1b,Sst Rasgef1b
106,64,128,4032,1133,478.8044383,-674.9950768,0.031746032,Sst Calb2 Gpc5_3_1,Sst Rasgef1b
101,64,26,525,1133,746.9349237,-149.5160783,0.04952381,Sst Calb2 Gpc5_3_2,Sst Rasgef1b
79,79,6732,11211,10538,973.7336794,-45074.3227,0.60048167,Sst Tac2_2,Sst Tac2_2
80,79,570,2314,10538,399.440354,-2941.770475,0.246326707,Sst Rxfp1 Ndnf_1,Sst Tac2_2
81,79,551,11913,10538,75.00166315,-1866.202783,0.046251994,Sst Rxfp1 Ndnf_2,Sst Tac2_2
85,79,71,1196,10538,96.26482063,-259.3514937,0.059364548,Sst Rxfp1 Bcl6_3_2_1,Sst Tac2_2
86,79,585,4154,10538,228.3651407,-2657.991372,0.140828117,Sst Rxfp1 Bcl6_3_2_2,Sst Tac2_2
