cl.from,cl.to,Freq,cl.from.total,cl.to.total,odds,pval.log,frac,cl.from.label,cl.to.label
1,1,3663,4474,3895,3591.965097,-31612.95364,0.818730443,CR,CR
4,4,54496,56122,55750,297.635854,-354297.3341,0.971027405,Lamp5 Lhx6 _1,Lamp5 Lhx6 _1
5,4,478,2447,55750,59.87529782,-1540.47119,0.195341234,Lamp5 Lhx6 HPF_2_1,Lamp5 Lhx6 _1
6,4,622,2207,55750,86.38569088,-2261.223156,0.281830539,Lamp5 Lhx6 HPF_2_2,Lamp5 Lhx6 _1
5,5,1833,2447,2597,4928.958676,-15638.36815,0.749080507,Lamp5 Lhx6 HPF_2_1,Lamp5 Lhx6 HPF_2_1
6,5,72,2207,2597,214.6628271,-320.1066173,0.032623471,Lamp5 Lhx6 HPF_2_2,Lamp5 Lhx6 HPF_2_1
7,5,50,616,2597,534.091878,-269.5065295,0.081168831,Lamp5 Lhx6 HPF_1,Lamp5 Lhx6 HPF_2_1
6,6,1476,2207,2395,4771.744017,-12293.91758,0.668781151,Lamp5 Lhx6 HPF_2_2,Lamp5 Lhx6 HPF_2_2
5,7,77,2447,703,764.8919,-442.9673636,0.031467103,Lamp5 Lhx6 HPF_2_1,Lamp5 Lhx6 HPF_1
7,7,550,616,703,21703.2755,-5663.328573,0.892857143,Lamp5 Lhx6 HPF_1,Lamp5 Lhx6 HPF_1
8,8,135223,150578,152267,100.781747,-686104.8575,0.898026272,Lamp5 Ndnf_2,Lamp5 Ndnf_2
9,8,401,5186,152267,8.677701362,-528.3901553,0.077323563,Lamp5 Reln Tnnt1_2_3_1,Lamp5 Ndnf_2
10,8,8988,251360,152267,4.012912922,-5993.60674,0.035757479,Lamp5 Reln Tnnt1_2_3_2,Lamp5 Ndnf_2
15,8,5930,34478,152267,19.30214029,-12532.9818,0.171993735,Lamp5 Egfr_3,Lamp5 Ndnf_2
16,8,1475,21600,152267,7.663569653,-1770.352865,0.068287037,Lamp5 Egfr_4,Lamp5 Ndnf_2
9,9,3033,5186,4561,2191.182026,-22803.59956,0.58484381,Lamp5 Reln Tnnt1_2_3_1,Lamp5 Reln Tnnt1_2_3_1
11,9,532,11481,4561,173.6082959,-2262.788944,0.046337427,Lamp5 Reln Tnnt1_2_3_3,Lamp5 Reln Tnnt1_2_3_1
8,10,8915,150578,253681,3.988141081,-5901.425278,0.059205196,Lamp5 Ndnf_2,Lamp5 Reln Tnnt1_2_3_2
9,10,1028,5186,253681,13.35276766,-1813.884731,0.198225993,Lamp5 Reln Tnnt1_2_3_1,Lamp5 Reln Tnnt1_2_3_2
10,10,239524,251360,253681,64.18943575,-1157688.774,0.952912158,Lamp5 Reln Tnnt1_2_3_2,Lamp5 Reln Tnnt1_2_3_2
11,10,3687,11481,253681,21.63237041,-8461.854383,0.321139274,Lamp5 Reln Tnnt1_2_3_3,Lamp5 Reln Tnnt1_2_3_2
21,10,227,1263,253681,12.10690673,-379.8753498,0.1797308,Pax6 Npsr1 Tmem176b_2_2_2,Lamp5 Reln Tnnt1_2_3_2
9,11,501,5186,9689,170.3824617,-2117.819932,0.096606248,Lamp5 Reln Tnnt1_2_3_1,Lamp5 Reln Tnnt1_2_3_3
